,precision,recall,f1-score,support
0.0,1.0,0.9090909090909091,0.9523809523809523,11.0
1.0,0.8333333333333334,1.0,0.9090909090909091,5.0
accuracy,0.9375,0.9375,0.9375,0.9375
macro avg,0.9166666666666667,0.9545454545454546,0.9307359307359306,16.0
weighted avg,0.9479166666666667,0.9375,0.9388528138528138,16.0
